127.0.0.1, 2017-01-31 17:41:41, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:41:41, GET, /myapp/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:41:41, GET, /myapp/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:41:41, GET, /myapp/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:41:41, GET, /myapp/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:41:41, GET, /myapp/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:41:41, GET, /myapp/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:41:42, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:41:42, GET, /myapp/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:41:42, GET, /myapp/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:41:42, GET, /myapp/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:41:42, GET, /myapp/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:41:42, GET, /myapp/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:41:42, GET, /myapp/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:41:42, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:41:42, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:43:09, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.067000
127.0.0.1, 2017-01-31 17:43:09, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2017-01-31 17:43:09, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:43:09, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2017-01-31 17:43:09, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2017-01-31 17:43:09, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.034000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.048000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.056000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.004000
0000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-01-31 17:43:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000000
